"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
1,"미정","전공선택","FUT2014-15288-","데이터시각화","계승철",3,"목(13:00-16:00)","","없음","목",5,8
2,"미정","전공선택","FUT3001-15290-","아트테크놀로지캡스톤디자인","정은기",3,"목(16:00-19:00)","","없음","목",8,10
3,"미정","전공선택","FUT3002-15291-","인문학으로예술읽기","천미림",3,"수(13:00-14:30),수(14:30-15:00)","","없음","수",6,7
4,"미정","전공선택","FUT3003-15292-","마음을사로잡는정보스토리텔링","김은정",3,"화(13:00-15:00),화(15:00-16:00)","","없음","화",7,8
5,"미정","전공선택","FUT3005-15294-","엔지니어를위한실용영작문","임동진",3,"목(09:00-10:30),목(10:30-12:00)","","없음","목",2,4
6,"미정","전공선택","FUT3008-15297-","인류세시대를위한미래인문학","김성희",3,"수(16:00-17:30),수(17:30-19:00)","","없음","수",9,10
7,"미정","전공선택","FUT4002-15304-","공학영어캡스톤디자인","임동진",3,"월(09:00-10:30),월(10:30-12:00)","","없음","월",2,4
8,"미정","전공선택","AIX0002-15002-","AI+X:인공지능","류호경",3,"목(09:00-11:00)","","없음","목",1,3
9,"미정","전공선택","AIX0003-15003-","AI+X:딥러닝","원영준",3,"화(13:00-15:00)","","없음","화",5,7
10,"미정","전공선택","FUT4003-15305-","한국테크노사이언스혁신의역사","박민아",3,"화(16:00-17:30),화(17:30-19:00)","","없음","화",9,10
11,"미정","전공선택","GEN1040-15310-","초급독일어","김수민",3,"금(13:00-14:30),금(14:30-16:00)","","없음","금",6,8
12,"미정","전공선택","GEN1043-15311-","중급중국어","유우",2,"금(13:00-15:00)","","없음","금",5,7
13,"미정","전공선택","GEN1076-15312-","여성학","허수연",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
14,"미정","전공선택","GEN1078-15313-","문화론특강","강경란",2,"목(11:00-13:00)","","없음","목",3,5
15,"미정","전공선택","GEN2079-15319-","영화의이해","김윤지",2,"화(15:00-17:00)","","없음","화",7,9
16,"미정","전공선택","GEN3041-15327-","초급중국어1","유우",3,"금(11:00-13:00)","","없음","금",3,5
17,"미정","전공선택","GEN3096-15329-","Modern Stress and You","Nathan John Lucas",2,"화(13:00-15:00)","","없음","화",5,7
18,"미정","전공선택","GEN3097-15330-","디자인으로 세상읽기","현은령",3,"화(11:00-13:00)","","없음","화",3,5
19,"미정","전공선택","GEN4002-15331-","조직리더십사례연구(군사학)","양황석",2,"시간미지정강좌","","없음",,,
20,"미정","전공선택","GEN4079-15336-","사회봉사","",1,"","","없음",,,
21,"미정","전공선택","GEN4091-15337-","과학기술의철학적이해","이채리",3,"화(09:00-10:30)","","없음","화",1,2
22,"미정","전공선택","GEN5014-15338-","기초스페인어","정동희",3,"금(13:00-14:30)","","없음","금",5,6
23,"미정","전공선택","CLS1022-15033-","과학클래식:생명과문명의융합적세계관을향하여","정혜경",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
24,"미정","전공선택","CLS1023-15034-","인문클래식:문학으로읽는음식과인간","김지선",3,"화(16:00-18:00),화(18:00-19:00)","","없음","화",10,10
25,"미정","전공선택","CLS1024-15035-","사회클래식:상상의낙원유토피아","서신혜",3,"수(13:00-15:00)","","없음","수",5,7
26,"미정","전공선택","CLS1025-15036-","예술클래식:도시와문학","우미영",3,"목(15:00-17:00)","","없음","목",7,9
27,"미정","전공선택","CUL0072-15042-","독일문학과영화","박현용",2,"목(11:00-13:00)","","없음","목",3,5
28,"미정","전공선택","GEN7030-15366-","영어와남녀의사소통의차이","Mimi Eun Newton",2,"화(15:00-17:00)","","없음","화",7,9
29,"미정","전공선택","KLE2009-15623-","문학의이해","정원정",2,"화(11:00-13:00)","","없음","화",3,5
30,"미정","전공선택","KOR4056-15624-","소설과영화","신성환",2,"목(15:00-17:00)","","없음","목",7,9
31,"미정","전공선택","PER2060-15629-","현대테크노사이언스의윤리적도전","오경준",3,"금(09:00-10:30),금(10:30-12:00)","","없음","금",2,4
32,"미정","전공선택","PER2061-15630-","스마트시대의문자,구술,영상","전지은",3,"수(09:00-11:00),수(11:00-12:00)","","없음","수",3,4
33,"미정","전공선택","PER2063-15631-","신화와원형의스토리텔링","신성환",3,"월(16:00-18:00),월(18:00-19:00)","","없음","월",10,10
34,"미정","전공선택","CUL0104-15047-","자유란무엇인가","박찬운",3,"월(15:00-16:30),월(16:30-18:00)","","없음","월",8,10
35,"미정","전공선택","CUL0111-15048-","통일함께만들기","홍용표",3,"화(10:00-11:30),화(11:30-13:00)","","없음","화",3,5
36,"미정","전공선택","CUL0128-15055-","4차산업혁명의이해","조병완",3,"목(16:00-17:30),목(17:30-19:00)","","없음","목",9,10
37,"미정","전공선택","CUL0130-15056-","디지털저널리즘","Tammy Ko Robinson",2,"수(09:00-11:00)","","없음","수",1,3
38,"미정","전공선택","CUL0138-15057-","다양성시대의한국어교육","채윤미",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
39,"미정","전공선택","GEN7033-15367-","비전공자를위한재무금융","이창훈",3,"수(16:00-17:30),수(17:30-19:00)","","없음","수",9,10
40,"미정","전공선택","GEN7034-15368-","초급독일어회화","Wirsching Cornelia Song",2,"수(11:00-13:00)","","없음","수",3,5
41,"미정","전공선택","GEN7041-15371-","창의적글쓰기","Shelley L. Collins",2,"목(11:00-13:00)","","없음","목",3,5
42,"미정","전공선택","PER3045-15635-","현대사회의갈등관리와인문학","신성환",3,"목(12:00-13:30),목(13:30-15:00)","","없음","목",5,7
43,"미정","전공선택","SBC0002-15638-","반도체8대공정개론","김성혁",3,"화(16:00-18:00),시간미지정강좌","","없음",,,
44,"미정","전공선택","SBC0003-15639-","반도체공정과장비의이해","방승호",3,"월(11:00-13:00),시간미지정강좌","","없음",,,
45,"미정","전공선택","SBC0004-15640-","반도체공정응용","박현정",3,"목(15:00-17:00),목(17:00-19:00)","","없음","목",9,10
46,"미정","전공선택","SBC0005-15641-","플라즈마장비","김주호",3,"화(15:00-17:00),화(17:00-19:00)","","없음","화",9,10
47,"미정","전공선택","SBC0006-15642-","반도체응용기술","박현정",3,"화(11:00-13:00),시간미지정강좌","","없음",,,
48,"미정","전공선택","SBC0007-15643-","반도체집적화기술","방승호",3,"화(18:00-20:00),시간미지정강좌","","없음",,,
49,"미정","전공선택","SYB1127-15647-","정보사회학입문","",3,"","","없음",,,
50,"미정","전공선택","SYB1128-15648-","저작권과스마트폰의이해","",2,"","","없음",,,
51,"미정","전공선택","SYB1149-15652-","프레젠테이션기법","",2,"","","없음",,,
52,"미정","전공선택","CUL1079-15069-","불멸의철학자들","오애향",2,"금(15:00-17:00)","","없음","금",7,9
53,"미정","전공선택","CUL1115-15070-","Aesthetic Awareness in the Modern World","Gary Joseph Turnham",2,"월(13:00-15:00)","","없음","월",5,7
54,"미정","전공선택","CUL1119-15074-","인구변화와미래복지","전영수",3,"월(13:00-14:30),월(14:30-15:00)","","없음","월",6,7
55,"미정","전공선택","CUL1128-15080-","인체용어의이해","황세진",2,"화(15:00-17:00)","","없음","화",7,9
56,"미정","전공선택","SYB8098-15672-","1인미디어와융합콘텐츠","",3,"","","없음",,,
57,"미정","전공선택","SYB8099-15673-","문화콘텐츠스토리텔링전략","",3,"","","없음",,,
58,"미정","전공선택","SYB9030-15674-","그린IT의이해","",3,"","","없음",,,
59,"미정","전공선택","SYB9031-15675-","문화기술과사회변동","",3,"","","없음",,,
60,"미정","전공선택","SYB9032-15676-","문화콘텐츠마케팅전략의수립과집행","",3,"","","없음",,,
61,"미정","전공선택","SYB9035-15678-","음식과세계문화","",3,"","","없음",,,
62,"미정","전공선택","SYB9036-15679-","글로벌시대의예술과가치","",3,"","","없음",,,
63,"미정","전공선택","SYB9071-15682-","21세기기업의인재상","",3,"","","없음",,,
64,"미정","전공선택","SYB9082-15683-","색채심리와현대생활","",3,"","","없음",,,
65,"미정","전공선택","SYB9096-15684-","성공하는문화콘텐츠소재개발전략","",3,"","","없음",,,
66,"미정","전공선택","SYB9098-15686-","생활속의계약과협상","",3,"","","없음",,,
67,"미정","전공선택","SYB9099-15687-","전략적의사결정과문제해결","",3,"","","없음",,,
68,"미정","전공선택","SYB9102-15688-","미래소비사회와상품","",2,"","","없음",,,
69,"미정","전공선택","SYB9103-15689-","행복한금융생활","",3,"","","없음",,,
70,"미정","전공선택","SYB9104-15690-","현대사회와신소재","",3,"","","없음",,,
71,"미정","전공선택","SYB9112-15693-","화폐와금융의과거,현재,그리고미래","",3,"","","없음",,,
72,"미정","전공선택","CUL1185-15122-","전기에너지개론","문준",3,"시간미지정강좌,시간미지정강좌","","없음",,,
73,"미정","전공선택","CUL1188-15124-","몸과마음을읽는헬스케어","김형숙",3,"수(13:00-14:00),수(14:00-16:00)","","없음","수",6,8
74,"미정","전공선택","CUL1189-15125-","Contemporary Korean Studies","David Tizzard",3,"금(13:00-14:30),금(14:30-16:00)","","없음","금",6,8
75,"미정","전공선택","SYB9124-15704-","세계도시건축","",2,"","","없음",,,
76,"미정","전공선택","SYB9128-15707-","비즈니스모델디자인과린스타트업활동","",3,"","","없음",,,
77,"미정","전공선택","SYH0001-15708-","사랑의실천1(한양나눔)","최영태",2,"시간미지정강좌","","없음",,,
78,"미정","전공선택","SYH0002-15709-","사랑의실천2(스마트커뮤니케이션)","최영태",2,"시간미지정강좌","","없음",,,
79,"미정","전공선택","SYH0003-15710-","사랑의실천3(기업가정신)","최영태",2,"시간미지정강좌","","없음",,,
80,"미정","전공선택","VEN2001-15712-","창업기초:창업과기업가정신","배태준",3,"금(11:00-13:00),시간미지정강좌","","없음",,,
81,"미정","전공선택","VEN2002-15713-","창업실습:실전창업워크숍","이재만",3,"수(16:00-19:00)","","없음","수",8,10
82,"미정","전공선택","CUL1192-15128-","OTT드라마스토리텔링","길종철",3,"화(13:00-15:00),화(15:00-16:00)","","없음","화",7,8
83,"미정","전공선택","VEN2005-15715-","창업기초:디자인씽킹","김경묵",3,"화(09:00-12:00)","","없음","화",1,4
84,"미정","전공선택","VEN2009-15716-","창업기초:스타트업기업가정신의이해와사례","백필호",3,"월(09:00-10:30),월(10:30-12:00)","","없음","월",2,4
85,"미정","전공선택","KLE2009-15929-","문학의이해","차성환",2,"목(16:00-18:00)","","없음","목",8,10
86,"미정","전공선택","KLE2009-15930-","문학의이해","양진호",2,"목(13:00-15:00)","","없음","목",5,7
87,"미정","전공선택","VEN3001-15719-","창업심화:스타트업법률이슈","이충호",3,"금(13:00-14:30),금(14:30-16:00)","","없음","금",6,8
88,"미정","전공선택","VEN3002-15720-","창업심화:스타트업특허","배진우",3,"목(13:00-14:00),목(14:00-16:00)","","없음","목",6,8
89,"미정","전공선택","VEN3005-15721-","창업실습:캠퍼스CEO","강창규",3,"목(18:30-21:30)","","없음","목",10,10
90,"미정","전공선택","VEN3006-15722-","창업실습1","강창규",3,"수(19:00-22:00)","","없음","수",10,10
91,"미정","전공선택","VEN3009-15725-","창업심화:스타트업투자유치전략","김경원",3,"화(13:00-15:00),화(15:00-16:00)","","없음","화",7,8
92,"미정","전공선택","VEN3011-15726-","창업기초:문화예술산업의이해","최진영",3,"월(16:00-18:00),월(18:00-19:00)","","없음","월",10,10
93,"미정","전공선택","VEN3024-15731-","창업가정신과사회적혁신","심건호",3,"금(16:00-17:30),금(17:30-19:00)","","없음","금",9,10
94,"미정","전공선택","VEN4003-15733-","블록체인과비즈니스모델","이장우",3,"목(09:00-10:00),목(10:00-12:00)","","없음","목",2,4
95,"미정","전공선택","VEN6001-15734-","스타트업토크콘서트","류창완",2,"수(13:00-15:00)","","없음","수",5,7
96,"미정","전공선택","CUL1217-15149-","명화속에숨어있는심리학","조영신",3,"화(14:00-16:00),화(16:00-17:00)","","없음","화",8,9
97,"미정","전공선택","CUL1218-15150-","인간발달담론","권선주",2,"목(13:00-15:00)","","없음","목",5,7
98,"미정","전공선택","CUL1220-15151-","Ethics of Science and Technology","Brian A. Wildeboer",3,"화(14:30-16:00),목(14:30-16:00)","","없음","목",6,8
99,"미정","전공선택","CUL1225-15156-","동양신화와문화콘텐츠스토리텔링","강민경",3,"수(11:00-13:00)","","없음","수",3,5
100,"미정","전공선택","CUL1226-15157-","인문학도를위한창의적코딩","성기혁",2,"수(15:00-16:00),수(16:00-17:00)","","없음","수",8,9
101,"미정","전공선택","CUL1228-15159-","인문학도를위한컴퓨팅의시작","성기혁",3,"금(13:00-15:00),시간미지정강좌","","없음",,,
102,"미정","전공선택","CUL1229-15160-","AI혁명:최첨단비즈니스전략마스터하기","박성우",3,"화(19:30-21:00)","","없음","화",10,10
103,"미정","전공선택","CUL1234-15165-","무용미학의언어와감각","김민주",3,"월(13:00-14:30),월(14:30-16:00)","","없음","월",6,8
104,"미정","전공선택","CUL1236-15166-","교양펜싱","배종국",2,"수(15:00-17:00)","","없음","수",7,9
105,"미정","전공선택","CUL4078-15182-","분노와자기관리","권선주",2,"수(15:00-17:00)","","없음","수",7,9
106,"미정","전공선택","CUL4088-15183-","중국의역사와문화","이승아",2,"월(11:00-13:00)","","없음","월",3,5
107,"미정","전공선택","CUL4089-15184-","중국근현대사","한상협",2,"화(13:00-15:00)","","없음","화",5,7
108,"미정","전공선택","CUL5067-15192-","현대중국의시장과통상","정우식",2,"목(13:00-15:00)","","없음","목",5,7
109,"미정","전공선택","CUL6004-15193-","직업진로와미래설계","홍주영",2,"수(15:00-17:00)","","없음","수",7,9
110,"미정","전공선택","CUL6094-15206-","사마천과의대화","황인건",2,"화(11:00-13:00)","","없음","화",3,5
111,"미정","전공선택","CUL6098-15207-","생명이란무엇인가?정신과물질","채지형",2,"월(11:00-13:00)","","없음","월",3,5
112,"미정","전공선택","CUL6099-15208-","종의기원과진화","채지형",2,"금(11:00-13:00)","","없음","금",3,5
113,"미정","전공선택","CUL7009-15215-","인문학과예술이본인간","유성호",2,"수(11:00-13:00)","","없음","수",3,5
114,"미정","전공선택","CUL7043-15219-","기술시대의인간과윤리","이채리",3,"화(15:00-17:00)","","없음","화",7,9
115,"미정","전공선택","CUL7045-15220-","문학과역사적상상력","김치성",2,"수(13:00-15:00)","","없음","수",5,7
116,"미정","전공선택","CUL7046-15221-","채움과비움:나이듦의인문학적이해","윤성호",3,"시간미지정강좌,시간미지정강좌","","없음",,,
117,"미정","전공선택","CUL7048-15223-","하루키와함께읽는고전","김지선",2,"화(13:00-15:00)","","없음","화",5,7
118,"미정","전공선택","CUL7100-15224-","위기의시민정치:혐오,갈등,양극화","길정아",2,"수(11:00-13:00)","","없음","수",3,5
119,"미정","전공선택","CUL7101-15225-","영화속인간발달","권선주",2,"목(15:00-17:00)","","없음","목",7,9
120,"미정","전공선택","DIS0016-15243-","Banking & Investment Practice","신진호",2,"목(16:00-18:00)","","없음","목",8,10
121,"미정","전공선택","ECO1006-15244-","미시경제원론","이준태",2,"월(09:00-11:00)","","없음","월",1,3
122,"미정","전공선택","EDU1001-15246-","교육학개론","정유선",2,"화(13:00-15:00)","","없음","화",5,7
123,"미정","전공선택","EDU2061-15252-","생활지도및상담","조윤희",2,"월(11:00-13:00)","","없음","월",3,5
124,"미정","전공선택","EDU3020-15253-","교육행정및경영","함승환",2,"금(13:00-15:00)","","없음","금",5,7
125,"미정","전공선택","EDU3042-15257-","교육봉사활동2","김선아",2,"시간미지정강좌","","없음",,,
126,"미정","전공선택","EDU3071-15258-","특수교육학개론","양현규",2,"수(13:00-15:00)","","없음","수",5,7
127,"미정","전공선택","ENG4017-15265-","실용영문법","이광희",3,"시간미지정강좌,시간미지정강좌","","없음",,,
128,"미정","전공선택","FUT3010-15299-","공정한시민을위한미디어리터러시:팩트,믿음,재미","신성환",3,"월(13:00-14:30),월(14:30-16:00)","","없음","월",6,8
129,"미정","전공선택","AIX0004-15004-","AI+X:R-Py컴퓨팅","이정환",3,"월(09:00-11:00)","","없음","월",1,3
130,"미정","전공선택","AIX0005-15005-","AI+X:머신러닝","박태준",3,"화(11:00-13:00)","","없음","화",3,5
131,"미정","전공선택","GEN0041-15308-","현대사회와나의삶","이유신",3,"월(13:00-14:30),월(14:30-16:00)","","없음","월",6,8
132,"미정","전공선택","GEN1035-15309-","중급스페인어","진미령",2,"수(11:00-13:00)","","없음","수",3,5
133,"미정","전공선택","GEN1092-15314-","한국근현대사","정종원",2,"수(13:00-15:00)","","없음","수",5,7
134,"미정","전공선택","GEN2052-15316-","미분적분학1","정예원",3,"월(09:00-10:30),수(10:30-12:00)","","없음","수",2,4
135,"미정","전공선택","GEN2053-15317-","미분적분학2","장정환",3,"수(14:30-16:00),금(16:00-17:30)","","없음","금",8,9
136,"미정","전공선택","GEN2078-15318-","연극의이해","임연진",2,"월(11:00-13:00)","","없음","월",3,5
137,"미정","전공선택","GEN2101-15322-","성의과학적이해","안주홍",2,"수(15:00-17:00)","","없음","수",7,9
138,"미정","전공선택","GEN3002-15323-","안전및조직관리사례연구(군사학)","양황석",2,"시간미지정강좌","","없음",,,
139,"미정","전공선택","AIX0006-15006-","AI와법","정종구",3,"금(15:00-16:30),금(16:30-18:00)","","없음","금",8,10
140,"미정","전공선택","AIX0007-15007-","인공지능의철학","김홍규",3,"금(16:00-17:30),금(17:30-19:00)","","없음","금",9,10
141,"미정","전공선택","CHM1005-15012-","일반화학및실험1","김민경",4,"화(11:00-13:00),금(15:00-17:00)","","없음","금",7,9
142,"미정","전공선택","CLS1004-15016-","과학클래식:과학기술의문화사","김호연",3,"월(15:00-17:00)","","없음","월",7,9
143,"미정","전공선택","CLS1005-15017-","예술클래식:일상과예술,그리고상상력","강민경",3,"수(09:00-11:00)","","없음","수",1,3
144,"미정","전공선택","CLS1006-15018-","예술클래식:천재와광기","임은희",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
145,"미정","전공선택","CLS1009-15021-","사회클래식BL:사랑의역사와문화정치학","김현주",3,"목(11:00-13:00)","","없음","목",3,5
146,"미정","전공선택","CLS1010-15022-","사회클래식BL:성과인간의대화","임은희",3,"목(11:00-13:00)","","없음","목",3,5
147,"미정","전공선택","CLS1011-15023-","예술클래식BL:신화로읽는동화","강민경",3,"화(09:00-11:00)","","없음","화",1,3
148,"미정","전공선택","CLS1013-15024-","인문클래식:독서의기술","전은진",3,"수(13:00-15:00)","","없음","수",5,7
149,"미정","전공선택","GEN4066-15333-","기초수학","Shen yang",2,"시간미지정강좌","","없음",,,
150,"미정","전공선택","GEN4073-15334-","사람과유전자","채지형",2,"수(13:00-15:00)","","없음","수",5,7
151,"미정","전공선택","GEN4075-15335-","미래지구환경과생태계","김백호",2,"목(13:00-15:00)","","없음","목",5,7
152,"미정","전공선택","GEN5048-15341-","호텔산업의이해","양은주",2,"수(15:00-17:00)","","없음","수",7,9
153,"미정","전공선택","GEN5060-15343-","동양철학의이해","나우권",2,"금(13:00-15:00)","","없음","금",5,7
154,"미정","전공선택","GEN5072-15345-","영어연기개론","Shelley L. Collins",2,"월(13:00-15:00)","","없음","월",5,7
155,"미정","전공선택","GEN5073-15346-","영어권생활문화와영어학습","서지윤",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
156,"미정","전공선택","JOB2001-15611-","현장실습(전공핵심)","",9,"","","없음",,,
157,"미정","전공선택","JOB2002-15612-","현장실습(전공심화)","",9,"","","없음",,,
158,"미정","전공선택","JOB2003-15613-","현장실습(일반교양)","",15,"","","없음",,,
159,"미정","전공선택","JOB2005-15614-","현장실습(일반선택)","",15,"","","없음",,,
160,"미정","전공선택","JOB3001-15615-","현장실습(4+1)","",10,"","","없음",,,
161,"미정","전공선택","CLS1015-15026-","사회클래식:자서전의힘","김현주",3,"수(11:00-13:00)","","없음","수",3,5
162,"미정","전공선택","CLS1016-15027-","과학클래식:화학의변명","김민경",3,"금(09:00-10:30),금(10:30-12:00)","","없음","금",2,4
163,"미정","전공선택","CLS1019-15030-","과학클래식:과학과 상상의 인간","우미영",3,"월(13:00-15:00)","","없음","월",5,7
164,"미정","전공선택","CLS1020-15031-","과학클래식:과학에게정의를묻다","이채리",3,"금(15:00-17:00)","","없음","금",7,9
165,"미정","전공선택","CUL0021-15039-","한문의이해","박은정",2,"목(15:00-17:00)","","없음","목",7,9
166,"미정","전공선택","CUL0047-15040-","영화로보는서양의역사","고광열",2,"월(11:00-13:00)","","없음","월",3,5
167,"미정","전공선택","CUL0051-15041-","현대중국의이해","박대훈",3,"월(11:00-11:30),월(11:30-13:00)","","없음","월",3,5
168,"미정","전공선택","CUL0076-15043-","프랑스문화관광","이숙은",2,"금(15:00-17:00)","","없음","금",7,9
169,"미정","전공선택","CUL0092-15044-","경계의시대,공존을말하다","강경란",2,"목(09:00-11:00)","","없음","목",1,3
170,"미정","전공선택","GEN6006-15347-","특허법의이해","윤선희",2,"화(15:00-17:00)","","없음","화",7,9
171,"미정","전공선택","GEN6007-15348-","대중문화와법","박성호",2,"목(09:00-11:00)","","없음","목",1,3
172,"미정","전공선택","GEN6023-15349-","상상과창조","이지은",3,"시간미지정강좌,시간미지정강좌","","없음",,,
173,"미정","전공선택","GEN6032-15350-","전문학술영어","Kimberley Jean Blount",3,"월(14:30-16:00),목(14:30-16:00)","","없음","목",6,8
174,"미정","전공선택","GEN6058-15352-","혁신과잡종의과학사","남영",2,"월(15:00-17:00)","","없음","월",7,9
175,"미정","전공선택","GEN6064-15353-","고급한국어","전은진",3,"시간미지정강좌,시간미지정강좌","","없음",,,
176,"미정","전공선택","GEN6066-15354-","생명과바다","이강현",2,"월(15:00-17:00)","","없음","월",7,9
177,"미정","전공선택","GEN6074-15355-","뇌과학의이해","황세진",2,"수(15:00-17:00)","","없음","수",7,9
178,"미정","전공선택","GEN6086-15356-","생활속의화학","김민경",2,"수(11:00-13:00)","","없음","수",3,5
179,"미정","전공선택","GEN6087-15357-","생활속에서만나는생물학","안주홍",2,"화(11:00-13:00)","","없음","화",3,5
180,"미정","전공선택","GEN7023-15360-","스포츠와사회적책임","Ed Topliffe",2,"화(11:00-13:00)","","없음","화",3,5
181,"미정","전공선택","CUL0093-15045-","프로이트와문화비평","김수민",2,"금(11:00-13:00)","","없음","금",3,5
182,"미정","전공선택","CUL0115-15049-","여성과법","한수정",2,"수(15:00-17:00)","","없음","수",7,9
183,"미정","전공선택","CUL0116-15050-","Understanding the new business environment","김상범",2,"화(19:00-21:00)","","없음","화",10,10
184,"미정","전공선택","CUL0120-15051-","중국비즈니스문화와에티켓","박대훈",3,"시간미지정강좌,시간미지정강좌","","없음",,,
185,"미정","전공선택","CUL0122-15052-","인간과생명과학","안주홍",2,"목(11:00-13:00)","","없음","목",3,5
186,"미정","전공선택","SBC0001-15945-","생활속의반도체","방승호",3,"수(16:00-18:00),시간미지정강좌","","없음",,,
187,"미정","전공선택","SBC0008-15946-","반도체부품설계공학","임제상",3,"목(16:00-18:00),목(18:00-20:00)","","없음","목",10,10
188,"미정","전공선택","CUL0139-15058-","법과국제공동체","김성원",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
189,"미정","전공선택","CUL0140-15059-","창업과법","이보미",3,"금(15:00-16:30),금(16:30-18:00)","","없음","금",8,10
190,"미정","전공선택","CUL0141-15060-","시민생활과세법","오윤",3,"월(13:00-14:30),월(14:30-16:00)","","없음","월",6,8
191,"미정","전공선택","CUL1000-15061-","문학과사랑","김세림",2,"수(13:00-15:00)","","없음","수",5,7
192,"미정","전공선택","CUL1029-15063-","쉽게듣는서양오페라","김유진",2,"수(09:00-11:00)","","없음","수",1,3
193,"미정","전공선택","CUL1032-15064-","현대음악의이해","김봄이",2,"월(13:00-15:00)","","없음","월",5,7
194,"미정","전공선택","GEN7038-15370-","비판적글읽기","Ian Gareth Robert Jones",2,"월(09:00-11:00)","","없음","월",1,3
195,"미정","전공선택","GEN7045-15373-","생태친화적기업경영","안광일",3,"시간미지정강좌,시간미지정강좌","","없음",,,
196,"미정","전공선택","GEN7046-15374-","기업경영과비즈니스전략","신민수",3,"시간미지정강좌,시간미지정강좌","","없음",,,
197,"미정","전공선택","GEN8003-15375-","중급독일어회화","Wirsching Cornelia Song",2,"수(13:00-15:00)","","없음","수",5,7
198,"미정","전공선택","GEN8004-15376-","브리꼴뢰르-융합형인재","김현경",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
199,"미정","전공선택","GEN8039-15378-","과학자의리더십","남영",2,"금(11:00-13:00)","","없음","금",3,5
200,"미정","전공선택","GEN8040-15379-","생물학연대기","정혜경",2,"금(13:00-15:00)","","없음","금",5,7
201,"미정","전공선택","CUL1056-15066-","한국의역사와문화","김민석",2,"수(15:00-17:00)","","없음","수",7,9
202,"미정","전공선택","CUL1073-15067-","인간의본성에관한철학적담론","이근세",2,"화(13:00-15:00)","","없음","화",5,7
203,"미정","전공선택","CUL1075-15068-","철학명저제대로읽기","오애향",2,"금(11:00-13:00)","","없음","금",3,5
204,"미정","전공선택","CUL1116-15071-","Animal Ethics","Mark A. Rublik",2,"월(11:00-13:00)","","없음","월",3,5
205,"미정","전공선택","CUL1117-15072-","Introduction to Digital Photography","Ed Topliffe",2,"목(13:00-15:00)","","없음","목",5,7
206,"미정","전공선택","CUL1118-15073-","The Language of Global Cuisine","Mimi Eun Newton",2,"금(15:00-17:00)","","없음","금",7,9
207,"미정","전공선택","CUL1120-15075-","빅데이터,사물인터넷,그리고인문학적상상력","김성희",3,"목(16:00-17:30),목(17:30-19:00)","","없음","목",9,10
208,"미정","전공선택","CUL1129-15081-","자기를찾아가는에니어그램","정기수",2,"목(15:00-17:00)","","없음","목",7,9
209,"미정","전공선택","CUL1131-15083-","4차산업혁명과비즈니스","이창원",2,"화(13:00-15:00)","","없음","화",5,7
210,"미정","전공선택","CUL1135-15085-","4차산업과해양자원","이강현",2,"월(13:00-15:00)","","없음","월",5,7
211,"미정","전공선택","GEN9176-15390-","빅데이터와패션트렌드","이현정",3,"월(09:00-10:30),월(10:30-12:00)","","없음","월",2,4
212,"미정","전공선택","CUL1136-15086-","미생물의세계","이진원",2,"월(11:00-13:00)","","없음","월",3,5
213,"미정","전공선택","CUL1138-15088-","인공지능과기계학습","장병철",2,"화(11:00-13:00)","","없음","화",3,5
214,"미정","전공선택","CUL1139-15089-","4차산업혁명핵심기술의이해","김철환",2,"금(13:00-15:00)","","없음","금",5,7
215,"미정","전공선택","CUL1148-15093-","뉴미디어와공연예술의현재와미래","우종희",3,"화(13:00-14:30),화(14:30-16:00)","","없음","화",6,8
216,"미정","전공선택","CUL1149-15094-","스토리텔링으로보는춤","한정미",2,"목(11:00-13:00)","","없음","목",3,5
217,"미정","전공선택","CUL1151-15096-","형법의이해","최영승",3,"수(13:00-14:30),수(14:30-16:00)","","없음","수",6,8
218,"미정","전공선택","CUL1153-15097-","멀티미디어로배우는현대생명과학","신인철",3,"수(13:00-15:00)","","없음","수",5,7
219,"미정","전공선택","CUL1154-15098-","인간행동과동기","전수현",2,"수(15:00-17:00)","","없음","수",7,9
220,"미정","전공선택","CUL1155-15099-","건강과사회그리고심리학","차지은",2,"월(09:00-11:00)","","없음","월",1,3
221,"미정","전공선택","CUL1157-15101-","금융인공지능실무","박성우",3,"월(19:00-20:30),월(20:30-22:00)","","없음","월",10,10
222,"미정","전공선택","CUL1164-15105-","4차산업혁명:융합적분석과인문학의대안","이도흠",3,"시간미지정강좌,시간미지정강좌","","없음",,,
223,"미정","전공선택","CUL1168-15107-","이공계를위한영어글쓰기","Adam Turner",3,"화(10:30-12:00),금(10:30-12:00)","","없음","금",2,4
224,"미정","전공선택","CUL1169-15108-","비즈니스글쓰기:설득의방법","Ian Gareth Robert Jones",3,"화(10:30-12:00),금(10:30-12:00)","","없음","금",2,4
225,"미정","전공선택","CUL1170-15109-","고급영어토론:설득의기술","Stacey Eujung Choi",3,"화(13:00-14:30),목(14:30-16:00)","","없음","목",6,8
