"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
5402,"미정","전공선택","7459852","커리어개발Ⅱ:취.창업진로포트폴리오","최창순",1,"화(12:00-13:00)","IT.BT관201강의실","",,,
5403,"미정","전공선택","7459853","신소재공학요소설계4(URIP)","임원빈",2,"월(18:00-20:00),목(18:00-20:00)","제1공학관202강의실","",,,
5404,"미정","전공선택","7459854","커리어개발Ⅱ:취.창업진로포트폴리오","김태욱",1,"화(17:00-18:00)","IT.BT관501강의실","",,,
5405,"미정","전공선택","7459855","컴파일러설계","이헌준",3,"화(14:30-16:00),목(10:30-12:00)","IT.BT관207강의실,IT.BT관202강의실","",,,
5406,"미정","전공선택","7459856","커리어개발Ⅱ:취.창업진로포트폴리오","윤동원",1,"화(17:30-18:30)","제2공학관207강의실","",,,
5407,"미정","전공선택","7459857","커리어개발Ⅱ:취.창업진로포트폴리오","정예환",1,"화(17:30-18:30)","제2공학관209강의실","",,,
5408,"미정","전공선택","7459858","기계재료학","김학성",3,"월(13:00-14:30)","제2공학관208강의실","",,,
5409,"미정","전공선택","7459859","융합전자공학종합설계2","윤기중",1,"시간미지정강좌","비지정()","",,,
5410,"미정","전공선택","7459860","융합전자공학종합설계2","이채은",1,"시간미지정강좌","비지정()","",,,
5411,"미정","전공선택","7459861","커리어개발Ⅱ:취.창업진로포트폴리오","오현옥",1,"금(17:00-18:00)","IT.BT관502강의실","",,,
5412,"미정","전공선택","7459862","이산수학","최진식",3,"화(14:30-16:00),목(16:00-17:30)","IT.BT관501강의실,IT.BT관203강의실","",,,
5413,"미정","전공선택","7459864","전자소자재료2","김형진",3,"월(13:00-14:30),목(13:00-14:30)","신소재공학관707호/708호","",,,
5414,"미정","전공선택","7459865","생물리학","조항준",2,"목(11:00-13:00)","의대계단강의동401강의실","",,,
5415,"미정","전공선택","7459866","사람.의료.사회1-2","박훈기",2,"화(15:00-17:00)","의대계단강의동401강의실","",,,
5416,"미정","전공선택","7459867","의과학기초실습","장미윤",1,"목(15:00-17:00)","제1의학관제1실습실","",,,
5417,"미정","전공선택","7459868","의과학기초실습","장미윤",1,"목(13:00-15:00)","제1의학관제1실습실","",,,
5418,"미정","전공선택","7459869","인간심리학","김은경",2,"금(13:00-15:00)","의대계단강의동401강의실","",,,
