course_code,course_name,course_name_eng,professor_name,major_division,classification,grade,major_level,major_department,offering_department,day,start_time,end_time,location,credit,,
AIX0006,AI와법,AI and Law,"이희옥,정종구",핵심교양,미래산업과창업영역,0,100,서울 대학,법학전문대학원,금,15:00:00,16:00:00,서울 제3법학관 304호,3,,
AIX0006,AI와법,AI and Law,"이희옥,정종구",핵심교양,미래산업과창업영역,0,100,서울 대학,법학전문대학원,금,16:00:00,18:00:00,서울 제3법학관 304호,3,,
AIX0007,인공지능의철학,Philosophy of Artificial Intelligence,김홍규,핵심교양,과학과기술영역,0,100,서울 대학,창의융합교육팀,금,16:00:00,17:00:00,서울 인문관 318강의실,3,,
AIX0007,인공지능의철학,Philosophy of Artificial Intelligence,김홍규,핵심교양,과학과기술영역,0,100,서울 대학,창의융합교육팀,금,17:00:00,19:00:00,서울 인문관 318강의실,3,,
APA1012,미술교육학원론1,Theory of Art Education 1,김미남,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,월,9:00:00,10:00:00,서울 사범대학본관 IC-PBL강의실(313),3,,
APA1012,미술교육학원론1,Theory of Art Education 1,김미남,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,월,10:00:00,12:00:00,서울 사범대학본관 IC-PBL강의실(313),3,,
APA1015,드로잉,Introduction to Drawing,김도희,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,수,9:00:00,10:00:00,서울 사범대학본관 평면실기실(B104),2,,
APA1015,드로잉,Introduction to Drawing,김도희,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,수,10:00:00,12:00:00,서울 사범대학본관 평면실기실(B104),2,,
APA2021,가상공간연구,Virtual Space Study,Tammy Ko Robinson,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,목,13:00:00,14:00:00,서울 사범대학본관 시각멀티미디어 디자인2 (102),2,,
APA2021,가상공간연구,Virtual Space Study,Tammy Ko Robinson,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,목,14:00:00,16:00:00,서울 사범대학본관 시각멀티미디어 디자인2 (102),2,,
APA2030,문화예술콘텐츠,Culture and Art Contents,서제희,전공심화,영역없음,4,400,응용미술교육과,응용미술교육과,화,15:00:00,17:00:00,서울 사범대학본관 중강의실(411),2,,
APA2031,서양미술사2,History of Western Art 2,권영진,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,화,13:00:00,14:00:00,서울 사범대학 별관 강의실(506-305),3,,
APA2031,서양미술사2,History of Western Art 2,권영진,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,화,14:00:00,16:00:00,서울 사범대학 별관 강의실(506-305),3,,
APA2034,2D컴퓨터그래픽,2D Computer Graphics,표재연,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,목,15:00:00,16:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),2,,
APA2034,2D컴퓨터그래픽,2D Computer Graphics,표재연,전공기초(필수),영역없음,1,100,응용미술교육과,응용미술교육과,목,16:00:00,18:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),2,,
APA2054,데이터구조,DATA STRUCTUERS,원영준,전공기초(필수),영역없음,1,100,정보시스템학과,정보시스템학과,목,9:00:00,10:00:00, 비지정(서울),3,,
APA3006,시각디자인2,Graphic Design 2,오형균,전공핵심,영역없음,2,200,응용미술교육과,응용미술교육과,수,9:00:00,11:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),3,,
APA3006,시각디자인2,Graphic Design 2,오형균,전공핵심,영역없음,2,200,응용미술교육과,응용미술교육과,수,11:00:00,13:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),3,,
APA3021,미술과교재연구,Teaching Resources in Art,김미남,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,월,16:00:00,17:00:00,서울 사범대학본관 IC-PBL강의실(313),3,,
APA3021,미술과교재연구,Teaching Resources in Art,김미남,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,월,17:00:00,19:00:00,서울 사범대학본관 IC-PBL강의실(313),3,,
APA3065,디자인스튜디오,Design Studio,현은령,전공기초(필수),영역없음,2,200,응용미술교육과,응용미술교육과,목,9:00:00,10:00:00,서울 사범대학본관 대강의실5(307),3,,
APA3065,디자인스튜디오,Design Studio,현은령,전공기초(필수),영역없음,2,200,응용미술교육과,응용미술교육과,목,10:00:00,12:00:00,서울 사범대학본관 대강의실5(307),3,,
APA3114,소셜디자인,Social Design,황의진,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,월,13:00:00,14:00:00,서울 사범대학본관 IC-PBL강의실(313),2,,
APA3114,소셜디자인,Social Design,황의진,전공핵심,영역없음,3,300,응용미술교육과,응용미술교육과,월,14:00:00,16:00:00,서울 사범대학본관 IC-PBL강의실(313),2,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,월,10:00:00,12:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,월,10:00:00,12:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,월,10:00:00,12:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,월,10:00:00,12:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,화,13:00:00,14:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,화,13:00:00,14:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,화,13:00:00,14:00:00,서울 제2공학관 311강의실,3,,
APA4010,기구학,Mechanism Design,서태원,전공심화,영역없음,4,400,기계공학부,기계공학부,화,13:00:00,14:00:00,서울 제2공학관 311강의실,3,,
APA4028,미술과논리및논술,Methods of Writing in Art Education,김미남,전공심화,영역없음,4,400,응용미술교육과,응용미술교육과,목,15:00:00,17:00:00,서울 사범대학본관 평면실기실(B104),2,,
APA4057,도예실기,Ceramic Art,김영호,전공핵심,영역없음,3,200,응용미술교육과,응용미술교육과,월,9:00:00,11:00:00,서울 사범대학본관 입체실기실(B103),3,,
APA4057,도예실기,Ceramic Art,김영호,전공핵심,영역없음,3,200,응용미술교육과,응용미술교육과,수,9:00:00,11:00:00,서울 사범대학본관 입체실기실(B103),3,,
APA4057,도예실기,Ceramic Art,김영호,전공핵심,영역없음,3,200,응용미술교육과,응용미술교육과,월,11:00:00,13:00:00,서울 사범대학본관 입체실기실(B103),3,,
APA4057,도예실기,Ceramic Art,김영호,전공핵심,영역없음,3,200,응용미술교육과,응용미술교육과,수,11:00:00,13:00:00,서울 사범대학본관 입체실기실(B103),3,,
APA4108,사회문제해결을위한Hands-onExperienceDesign,Hands-on Experience Design for Social Problem Solving,현은령,전공심화,영역없음,4,400,응용미술교육과,응용미술교육과,월,9:00:00,11:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),3,,
APA4108,사회문제해결을위한Hands-onExperienceDesign,Hands-on Experience Design for Social Problem Solving,현은령,전공심화,영역없음,4,400,응용미술교육과,응용미술교육과,월,11:00:00,13:00:00,서울 사범대학본관 시각멀티미디어 디자인1 (103),3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,김민혁,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 203강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,김민혁,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 203강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,박수진,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 207강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,박수진,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 207강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,주효주,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 208강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,주효주,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 208강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,오채운,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 209강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,오채운,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,19:00:00,20:00:00,서울 제2공학관 209강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,김민혁,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 203강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,김민혁,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 203강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,박수진,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 207강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,박수진,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 207강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,주효주,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 208강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,주효주,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 208강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,오채운,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 209강의실,3,,
APS1006,창조적사고와글쓰기,Creative Thinking and Writing,오채운,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(교양국어교육위원회),화,20:00:00,22:00:00,서울 제2공학관 209강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,John Finucane,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,19:00:00,20:00:00,서울 제2공학관 305강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,John Finucane,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,19:00:00,20:00:00,서울 제2공학관 305강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Brian A. Wildeboer,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,19:00:00,20:00:00,서울 제2공학관 306강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Brian A. Wildeboer,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,19:00:00,20:00:00,서울 제2공학관 306강의실,3,,
